"HGNC_join","external_gene_name","ensembl_gene_id","description","Group name","Protein","Metabolic","Lipid","HGNC_ID","HGNC_gene_name","Manning_Group","Manning_Family","Manning_Subfamily","Group","Family","SubFamily","ensembl"
"PASK","PASK","ENSG00000115687","PAS domain containing serine/threonine kinase","PASK family kinases","Y","N","N","HGNC:17270","PASK","CAMK","CAMKL","PASK",NA,NA,NA,NA
"PBK","PBK","ENSG00000168078","PDZ binding kinase",NA,"N","N","N","HGNC:18282","PBK","Other","TOPK",NA,NA,NA,NA,NA
"PCK1","PCK1","ENSG00000124253","phosphoenolpyruvate carboxykinase 1",NA,"N","Y","N","HGNC:8724","PCK1",NA,NA,NA,NA,NA,NA,NA
"PCK2","PCK2","ENSG00000100889","phosphoenolpyruvate carboxykinase 2, mitochondrial",NA,"N","Y","N","HGNC:8725","PCK2",NA,NA,NA,NA,NA,NA,NA
"PDGFRA","PDGFRA","ENSG00000134853","platelet derived growth factor receptor alpha","Receptor tyrosine kinases","Y","Y","N","HGNC:8803","PDGFRA","TK","PDGFR",NA,NA,NA,NA,NA
"PDGFRB","PDGFRB","ENSG00000113721","platelet derived growth factor receptor beta","Receptor tyrosine kinases","Y","Y","N","HGNC:8804","PDGFRB","TK","PDGFR",NA,NA,NA,NA,NA
"PDIK1L","PDIK1L","ENSG00000175087","PDLIM1 interacting kinase 1 like",NA,"N","N","N","HGNC:18981","PDIK1L",NA,NA,NA,NA,NA,NA,NA
"PDK1","PDK1","ENSG00000152256","pyruvate dehydrogenase kinase 1",NA,"N","Y","N","HGNC:8809","PDK1","AGC","PKB",NA,NA,NA,NA,NA
"PDK2","PDK2","ENSG00000005882","pyruvate dehydrogenase kinase 2",NA,"N","N","N","HGNC:8810","PDK2",NA,NA,NA,NA,NA,NA,NA
"PDK3","PDK3","ENSG00000067992","pyruvate dehydrogenase kinase 3",NA,"N","N","N","HGNC:8811","PDK3",NA,NA,NA,NA,NA,NA,NA
"PDK4","PDK4","ENSG00000004799","pyruvate dehydrogenase kinase 4",NA,"N","N","N","HGNC:8812","PDK4",NA,NA,NA,NA,NA,NA,NA
"PDPK1","PDPK1","ENSG00000140992","3-phosphoinositide dependent protein kinase 1",NA,"N","Y","Y","HGNC:8816","PDPK1",NA,NA,NA,NA,NA,NA,NA
"PDXK","PDXK","ENSG00000160209","pyridoxal kinase",NA,"N","Y","N","HGNC:8819","PDXK",NA,NA,NA,NA,NA,NA,NA
"PEAK1","PEAK1","ENSG00000173517","pseudopodium enriched atypical kinase 1","PEAK pseudokinase family","Y","N","N","HGNC:29431","PEAK1",NA,NA,NA,NA,NA,NA,NA
"PEAK3","PEAK3","ENSG00000188305","PEAK family member 3","PEAK pseudokinase family","Y","N","N","HGNC:24793","PEAK3",NA,NA,NA,NA,NA,NA,NA
"PFKFB1","PFKFB1","ENSG00000158571","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase family","Y","Y","N","HGNC:8872","PFKFB1",NA,NA,NA,NA,NA,NA,NA
"PFKFB2","PFKFB2","ENSG00000123836","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase family","Y","Y","N","HGNC:8873","PFKFB2",NA,NA,NA,NA,NA,NA,NA
"PFKFB3","PFKFB3","ENSG00000170525","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase family","Y","Y","N","HGNC:8874","PFKFB3",NA,NA,NA,NA,NA,NA,NA
"PFKFB4","PFKFB4","ENSG00000114268","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase family","Y","Y","N","HGNC:8875","PFKFB4",NA,NA,NA,NA,NA,NA,NA
"PFKL","PFKL","ENSG00000141959","phosphofructokinase, liver type","Phosphofructokinase family","Y","Y","N","HGNC:8876","PFKL",NA,NA,NA,NA,NA,NA,NA
"PFKM","PFKM","ENSG00000152556","phosphofructokinase, muscle","Phosphofructokinase family","Y","Y","N","HGNC:8877","PFKM",NA,NA,NA,NA,NA,NA,NA
"PFKP","PFKP","ENSG00000067057","phosphofructokinase, platelet","Phosphofructokinase family","Y","Y","N","HGNC:8878","PFKP",NA,NA,NA,NA,NA,NA,NA
"PGK1","PGK1","ENSG00000102144","phosphoglycerate kinase 1",NA,"N","N","N","HGNC:8896","PGK1",NA,NA,NA,NA,NA,NA,NA
"PGK2","PGK2","ENSG00000170950","phosphoglycerate kinase 2",NA,"N","N","N","HGNC:8898","PGK2",NA,NA,NA,NA,NA,NA,NA
"PHKG1","PHKG1","ENSG00000164776","phosphorylase kinase catalytic subunit gamma 1","Phosphorylase kinase subunits","Y","N","N","HGNC:8930","PHKG1","CAMK","PHK",NA,NA,NA,NA,NA
"PHKG2","PHKG2","ENSG00000156873","phosphorylase kinase catalytic subunit gamma 2","Phosphorylase kinase subunits","Y","N","N","HGNC:8931","PHKG2","CAMK","PHK",NA,NA,NA,NA,NA
"PI4K2A","PI4K2A","ENSG00000155252","phosphatidylinositol 4-kinase type 2 alpha",NA,"N","Y","N","HGNC:30031","PI4K2A",NA,NA,NA,NA,NA,NA,NA
"PI4K2B","PI4K2B","ENSG00000038210","phosphatidylinositol 4-kinase type 2 beta",NA,"N","Y","N","HGNC:18215","PI4K2B",NA,NA,NA,NA,NA,NA,NA
"PI4KA","PI4KA","ENSG00000241973","phosphatidylinositol 4-kinase alpha","PI4KA lipid kinase complex","Y","Y","N","HGNC:8983","PI4KA",NA,NA,NA,NA,NA,NA,NA
"PI4KB","PI4KB","ENSG00000143393","phosphatidylinositol 4-kinase beta",NA,"N","Y","N","HGNC:8984","PI4KB",NA,NA,NA,NA,NA,NA,NA
"PIK3C2A","PIK3C2A","ENSG00000011405","phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha","Phosphatidylinositol 3-kinase family","Y","Y","N","HGNC:8971","PIK3C2A",NA,NA,NA,NA,NA,NA,NA
"PIK3C2B","PIK3C2B","ENSG00000133056","phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta","Phosphatidylinositol 3-kinase family","Y","Y","N","HGNC:8972","PIK3C2B",NA,NA,NA,NA,NA,NA,NA
"PIK3C2G","PIK3C2G","ENSG00000139144","phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma","Phosphatidylinositol 3-kinase family","Y","Y","N","HGNC:8973","PIK3C2G",NA,NA,NA,NA,NA,NA,NA
"PIK3C3","PIK3C3","ENSG00000078142","phosphatidylinositol 3-kinase catalytic subunit type 3","Phosphatidylinositol 3-kinase family","Y","Y","N","HGNC:8974","PIK3C3",NA,NA,NA,NA,NA,NA,NA
"PIK3CA","PIK3CA","ENSG00000121879","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha","Phosphatidylinositol 3-kinase family","Y","Y","Y","HGNC:8975","PIK3CA",NA,NA,NA,NA,NA,NA,NA
"PIK3CB","PIK3CB","ENSG00000051382","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta","Phosphatidylinositol 3-kinase family","Y","Y","Y","HGNC:8976","PIK3CB",NA,NA,NA,NA,NA,NA,NA
"PIK3CD","PIK3CD","ENSG00000171608","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta","Phosphatidylinositol 3-kinase family","Y","Y","Y","HGNC:8977","PIK3CD",NA,NA,NA,NA,NA,NA,NA
"PIK3CG","PIK3CG","ENSG00000105851","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma","Phosphatidylinositol 3-kinase family","Y","Y","N","HGNC:8978","PIK3CG",NA,NA,NA,NA,NA,NA,NA
"PIK3R1","PIK3R1","ENSG00000145675","phosphoinositide-3-kinase regulatory subunit 1",NA,"N","Y","Y","HGNC:8979","PIK3R1",NA,NA,NA,NA,NA,NA,NA
"PIK3R4","PIK3R4","ENSG00000196455","phosphoinositide-3-kinase regulatory subunit 4",NA,"N","N","N","HGNC:8982","PIK3R4","Other","VPS15",NA,NA,NA,NA,NA
"PIK3R5","PIK3R5","ENSG00000141506","phosphoinositide-3-kinase regulatory subunit 5",NA,"N","N","N","HGNC:30035","PIK3R5",NA,NA,NA,NA,NA,NA,NA
"PIKFYVE","PIKFYVE","ENSG00000115020","phosphoinositide kinase, FYVE-type zinc finger containing",NA,"N","Y","N","HGNC:23785","PIKFYVE",NA,NA,NA,NA,NA,NA,NA
"PIM1","PIM1","ENSG00000137193","Pim-1 proto-oncogene, serine/threonine kinase","PIM kinase family","Y","N","N","HGNC:8986","PIM1","CAMK","PIM",NA,NA,NA,NA,NA
"PIM2","PIM2","ENSG00000102096","Pim-2 proto-oncogene, serine/threonine kinase","PIM kinase family","Y","N","N","HGNC:8987","PIM2","CAMK","PIM",NA,NA,NA,NA,NA
"PIM3","PIM3","ENSG00000198355","Pim-3 proto-oncogene, serine/threonine kinase","PIM kinase family","Y","N","N","HGNC:19310","PIM3","CAMK","PIM",NA,NA,NA,NA,NA
"PINK1","PINK1","ENSG00000158828","PTEN induced kinase 1",NA,"N","N","N","HGNC:14581","PINK1","Other","NKF2",NA,NA,NA,NA,NA
"PIP4K2A","PIP4K2A","ENSG00000150867","phosphatidylinositol-5-phosphate 4-kinase type 2 alpha",NA,"N","Y","N","HGNC:8997","PIP4K2A",NA,NA,NA,NA,NA,NA,NA
"PIP4K2B","PIP4K2B","ENSG00000276293","phosphatidylinositol-5-phosphate 4-kinase type 2 beta",NA,"N","Y","N","HGNC:8998","PIP4K2B",NA,NA,NA,NA,NA,NA,NA
"PIP4K2C","PIP4K2C","ENSG00000166908","phosphatidylinositol-5-phosphate 4-kinase type 2 gamma",NA,"N","Y","N","HGNC:23786","PIP4K2C",NA,NA,NA,NA,NA,NA,NA
"PIP5K1A","PIP5K1A","ENSG00000143398","phosphatidylinositol-4-phosphate 5-kinase type 1 alpha",NA,"N","Y","N","HGNC:8994","PIP5K1A",NA,NA,NA,NA,NA,NA,NA
"PIP5K1B","PIP5K1B","ENSG00000107242","phosphatidylinositol-4-phosphate 5-kinase type 1 beta",NA,"N","Y","N","HGNC:8995","PIP5K1B",NA,NA,NA,NA,NA,NA,NA
"PIP5K1C","PIP5K1C","ENSG00000186111","phosphatidylinositol-4-phosphate 5-kinase type 1 gamma",NA,"N","Y","N","HGNC:8996","PIP5K1C",NA,NA,NA,NA,NA,NA,NA
"PIP5KL1","PIP5KL1","ENSG00000167103","phosphatidylinositol-4-phosphate 5-kinase like 1",NA,"N","Y","N","HGNC:28711","PIP5KL1",NA,NA,NA,NA,NA,NA,NA
"PKDCC","PKDCC","ENSG00000162878","protein kinase domain containing, cytoplasmic","Divergent protein kinase domain family","Y","N","N","HGNC:25123","PKDCC",NA,NA,NA,NA,NA,NA,NA
"PKLR","PKLR","ENSG00000143627","pyruvate kinase L/R",NA,"N","Y","N","HGNC:9020","PKLR",NA,NA,NA,NA,NA,NA,NA
"PKM","PKM","ENSG00000067225","pyruvate kinase M1/2",NA,"N","Y","N","HGNC:9021","PKM",NA,NA,NA,NA,NA,NA,NA
"PKMYT1","PKMYT1","ENSG00000127564","protein kinase, membrane associated tyrosine/threonine 1",NA,"N","N","N","HGNC:29650","PKMYT1",NA,NA,NA,NA,NA,NA,NA
"PKN1","PKN1","ENSG00000123143","protein kinase N1","C2 domain containing protein kinases","Y","N","N","HGNC:9405","PKN1","AGC","PKN",NA,NA,NA,NA,NA
"PKN2","PKN2","ENSG00000065243","protein kinase N2","C2 domain containing protein kinases","Y","N","N","HGNC:9406","PKN2","AGC","PKN",NA,NA,NA,NA,NA
"PKN3","PKN3","ENSG00000160447","protein kinase N3","C2 domain containing protein kinases","Y","N","N","HGNC:17999","PKN3","AGC","PKN",NA,NA,NA,NA,NA
"PLK1","PLK1","ENSG00000166851","polo like kinase 1","Polo like kinase family","Y","N","N","HGNC:9077","PLK1","Other","PLK",NA,NA,NA,NA,NA
"PLK2","PLK2","ENSG00000145632","polo like kinase 2","Polo like kinase family","Y","N","N","HGNC:19699","PLK2","Other","PLK",NA,NA,NA,NA,NA
"PLK3","PLK3","ENSG00000173846","polo like kinase 3","Polo like kinase family","Y","N","N","HGNC:2154","PLK3","Other","PLK",NA,NA,NA,NA,NA
"PLK4","PLK4","ENSG00000142731","polo like kinase 4","Polo like kinase family","Y","N","N","HGNC:11397","PLK4","Other","PLK",NA,NA,NA,NA,NA
"PLK5","PLK5","ENSG00000185988","polo like kinase 5 (inactive)","Polo like kinase family","Y","N","N","HGNC:27001","PLK5",NA,NA,NA,NA,NA,NA,NA
"PMVK","PMVK","ENSG00000163344","phosphomevalonate kinase",NA,"N","N","N","HGNC:9141","PMVK",NA,NA,NA,NA,NA,NA,NA
"PNCK","PNCK","ENSG00000130822","pregnancy up-regulated nonubiquitous CaM kinase",NA,"N","N","N","HGNC:13415","PNCK",NA,NA,NA,NA,NA,NA,NA
"PNKP","PNKP","ENSG00000039650","polynucleotide kinase 3'-phosphatase",NA,"N","N","N","HGNC:9154","PNKP",NA,NA,NA,NA,NA,NA,NA
"POMK","POMK","ENSG00000185900","protein O-mannose kinase",NA,"N","N","N","HGNC:26267","POMK",NA,NA,NA,NA,NA,NA,NA
"PPIP5K1","PPIP5K1","ENSG00000168781","diphosphoinositol pentakisphosphate kinase 1",NA,"N","Y","N","HGNC:29023","PPIP5K1",NA,NA,NA,NA,NA,NA,NA
"PPIP5K2","PPIP5K2","ENSG00000145725","diphosphoinositol pentakisphosphate kinase 2",NA,"N","Y","N","HGNC:29035","PPIP5K2",NA,NA,NA,NA,NA,NA,NA
"PPM1D","PPM1D","ENSG00000170836","protein phosphatase, Mg2+/Mn2+ dependent 1D",NA,"N","N","N","HGNC:9277","PPM1D",NA,NA,NA,NA,NA,NA,NA
"PPP1R9B","PPP1R9B","ENSG00000108819","protein phosphatase 1 regulatory subunit 9B",NA,"N","N","N","HGNC:9298","PPP1R9B",NA,NA,NA,NA,NA,NA,NA
"PRAG1","PRAG1","ENSG00000275342","PEAK1 related, kinase-activating pseudokinase 1","PEAK pseudokinase family","Y","N","N","HGNC:25438","PRAG1",NA,NA,NA,NA,NA,NA,NA
"PRKAA1","PRKAA1","ENSG00000132356","protein kinase AMP-activated catalytic subunit alpha 1","Protein kinase AMP-activated catalytic subunit alpha family","Y","N","N","HGNC:9376","PRKAA1",NA,NA,NA,"CAMK","CAMKL","AMPK","ENSG00000132356"
"PRKAA2","PRKAA2","ENSG00000162409","protein kinase AMP-activated catalytic subunit alpha 2","Protein kinase AMP-activated catalytic subunit alpha family","Y","N","N","HGNC:9377","PRKAA2",NA,NA,NA,"CAMK","CAMKL","AMPK","ENSG00000162409"
"PRKACA","PRKACA","ENSG00000072062","protein kinase cAMP-activated catalytic subunit alpha","Protein kinase A family","Y","N","N","HGNC:9380","PRKACA",NA,NA,NA,NA,NA,NA,NA
"PRKACB","PRKACB","ENSG00000142875","protein kinase cAMP-activated catalytic subunit beta","Protein kinase A family","Y","N","N","HGNC:9381","PRKACB",NA,NA,NA,NA,NA,NA,NA
"PRKACG","PRKACG","ENSG00000165059","protein kinase cAMP-activated catalytic subunit gamma","Protein kinase A family","Y","N","N","HGNC:9382","PRKACG",NA,NA,NA,NA,NA,NA,NA
"PRKAG2","PRKAG2","ENSG00000106617","protein kinase AMP-activated non-catalytic subunit gamma 2","Protein kinase AMP-activated non-catalytic subunit gamma family","Y","N","N","HGNC:9386","PRKAG2",NA,NA,NA,NA,NA,NA,NA
"PRKAG3","PRKAG3","ENSG00000115592","protein kinase AMP-activated non-catalytic subunit gamma 3","Protein kinase AMP-activated non-catalytic subunit gamma family","Y","N","N","HGNC:9387","PRKAG3",NA,NA,NA,NA,NA,NA,NA
"PRKAR1A","PRKAR1A","ENSG00000108946","protein kinase cAMP-dependent type I regulatory subunit alpha","Protein kinase A subunits","Y","N","N","HGNC:9388","PRKAR1A",NA,NA,NA,NA,NA,NA,NA
"PRKAR2A","PRKAR2A","ENSG00000114302","protein kinase cAMP-dependent type II regulatory subunit alpha","Protein kinase A subunits","Y","N","N","HGNC:9391","PRKAR2A",NA,NA,NA,NA,NA,NA,NA
"PRKCA","PRKCA","ENSG00000154229","protein kinase C alpha","C2 domain containing protein kinases","Y","Y","Y","HGNC:9393","PRKCA",NA,NA,NA,NA,NA,NA,NA
"PRKCB","PRKCB","ENSG00000166501","protein kinase C beta","C2 domain containing protein kinases","Y","Y","Y","HGNC:9395","PRKCB",NA,NA,NA,NA,NA,NA,NA
"PRKCD","PRKCD","ENSG00000163932","protein kinase C delta","C2 domain containing protein kinases","Y","N","N","HGNC:9399","PRKCD",NA,NA,NA,NA,NA,NA,NA
"PRKCE","PRKCE","ENSG00000171132","protein kinase C epsilon","C2 domain containing protein kinases","Y","N","Y","HGNC:9401","PRKCE",NA,NA,NA,NA,NA,NA,NA
"PRKCG","PRKCG","ENSG00000126583","protein kinase C gamma","C2 domain containing protein kinases","Y","Y","Y","HGNC:9402","PRKCG",NA,NA,NA,NA,NA,NA,NA
"PRKCH","PRKCH","ENSG00000027075","protein kinase C eta","C2 domain containing protein kinases","Y","N","N","HGNC:9403","PRKCH",NA,NA,NA,NA,NA,NA,NA
"PRKCI","PRKCI","ENSG00000163558","protein kinase C iota","Protein kinase C family","Y","N","N","HGNC:9404","PRKCI",NA,NA,NA,NA,NA,NA,NA
"PRKCQ","PRKCQ","ENSG00000065675","protein kinase C theta","C2 domain containing protein kinases","Y","N","N","HGNC:9410","PRKCQ",NA,NA,NA,NA,NA,NA,NA
"PRKCZ","PRKCZ","ENSG00000067606","protein kinase C zeta","Protein kinase C family","Y","N","Y","HGNC:9412","PRKCZ",NA,NA,NA,NA,NA,NA,NA
"PRKD1","PRKD1","ENSG00000184304","protein kinase D1","Protein kinase D family","Y","N","N","HGNC:9407","PRKD1",NA,NA,NA,NA,NA,NA,NA
"PRKD2","PRKD2","ENSG00000105287","protein kinase D2","Protein kinase D family","Y","N","N","HGNC:17293","PRKD2",NA,NA,NA,NA,NA,NA,NA
"PRKD3","PRKD3","ENSG00000115825","protein kinase D3","Protein kinase D family","Y","N","N","HGNC:9408","PRKD3",NA,NA,NA,NA,NA,NA,NA
"PRKDC","PRKDC","ENSG00000253729","protein kinase, DNA-activated, catalytic subunit",NA,"N","N","N","HGNC:9413","PRKDC",NA,NA,NA,NA,NA,NA,NA
"PRKG1","PRKG1","ENSG00000185532","protein kinase cGMP-dependent 1","Protein kinase G family","Y","N","N","HGNC:9414","PRKG1",NA,NA,NA,NA,NA,NA,NA
"PRKG2","PRKG2","ENSG00000138669","protein kinase cGMP-dependent 2","Protein kinase G family","Y","N","N","HGNC:9416","PRKG2",NA,NA,NA,NA,NA,NA,NA
"PRKRA","PRKRA","ENSG00000180228","protein activator of interferon induced protein kinase EIF2AK2",NA,"N","N","N","HGNC:9438","PRKRA",NA,NA,NA,NA,NA,NA,NA
"PRKX","PRKX","ENSG00000183943","protein kinase cAMP-dependent X-linked catalytic subunit","Protein kinase A family","Y","N","N","HGNC:9441","PRKX","AGC","PKA",NA,NA,NA,NA,NA
"PRP4K","PRP4K","ENSG00000112739","pre-mRNA processing factor kinase PRP4K",NA,"N","N","N","HGNC:17346","PRP4K","CMGC","DYRK","PRP4",NA,NA,NA,NA
"PRPS1","PRPS1","ENSG00000147224","phosphoribosyl pyrophosphate synthetase 1",NA,"N","Y","N","HGNC:9462","PRPS1",NA,NA,NA,NA,NA,NA,NA
"PRPS1L1","PRPS1L1","ENSG00000229937","phosphoribosyl pyrophosphate synthetase 1 like 1",NA,"N","Y","N","HGNC:9463","PRPS1L1",NA,NA,NA,NA,NA,NA,NA
"PRPS2","PRPS2","ENSG00000101911","phosphoribosyl pyrophosphate synthetase 2",NA,"N","Y","N","HGNC:9465","PRPS2",NA,NA,NA,NA,NA,NA,NA
"PSKH1","PSKH1","ENSG00000159792","protein serine kinase H1","Protein serine kinase H family","Y","N","N","HGNC:9529","PSKH1","CAMK","PSK",NA,NA,NA,NA,NA
"PSKH2","PSKH2","ENSG00000147613","protein serine kinase H2","Protein serine kinase H family","Y","N","N","HGNC:18997","PSKH2","CAMK","PSK",NA,NA,NA,NA,NA
"PSTK","PSTK","ENSG00000179988","phosphoseryl-tRNA kinase",NA,"N","Y","N","HGNC:28578","PSTK",NA,NA,NA,NA,NA,NA,NA
"PTK2","PTK2","ENSG00000169398","protein tyrosine kinase 2","PTK2 family tyrosine kinases","Y","N","Y","HGNC:9611","PTK2",NA,NA,NA,NA,NA,NA,NA
"PTK2B","PTK2B","ENSG00000120899","protein tyrosine kinase 2 beta","PTK2 family tyrosine kinases","Y","N","N","HGNC:9612","PTK2B",NA,NA,NA,NA,NA,NA,NA
"PTK6","PTK6","ENSG00000101213","protein tyrosine kinase 6","PTK6 family tyrosine kinases","Y","N","N","HGNC:9617","PTK6",NA,NA,NA,NA,NA,NA,NA
"PTK7","PTK7","ENSG00000112655","protein tyrosine kinase 7 (inactive)","Receptor tyrosine kinases","Y","N","N","HGNC:9618","PTK7",NA,NA,NA,NA,NA,NA,NA
"PTPRM","PTPRM","ENSG00000173482","protein tyrosine phosphatase receptor type M",NA,"N","N","N","HGNC:9675","PTPRM",NA,NA,NA,NA,NA,NA,NA
"PXK","PXK","ENSG00000168297","PX domain containing serine/threonine kinase like",NA,"N","N","N","HGNC:23326","PXK",NA,NA,NA,NA,NA,NA,NA
"RAF1","RAF1","ENSG00000132155","Raf-1 proto-oncogene, serine/threonine kinase","Mitogen-activated protein kinase kinase kinases","Y","Y","Y","HGNC:9829","RAF1","TKL","RAF",NA,NA,NA,NA,NA
"RASSF2","RASSF2","ENSG00000101265","Ras association domain family member 2",NA,"N","N","N","HGNC:9883","RASSF2",NA,NA,NA,NA,NA,NA,NA
"RBKS","RBKS","ENSG00000171174","ribokinase",NA,"N","N","N","HGNC:30325","RBKS",NA,NA,NA,NA,NA,NA,NA
"RET","RET","ENSG00000165731","ret proto-oncogene","Receptor tyrosine kinases","Y","Y","N","HGNC:9967","RET","TK","Ret",NA,NA,NA,NA,NA
"RFK","RFK","ENSG00000135002","riboflavin kinase",NA,"N","Y","N","HGNC:30324","RFK",NA,NA,NA,NA,NA,NA,NA
"RIOK1","RIOK1","ENSG00000124784","RIO kinase 1",NA,"N","N","N","HGNC:18656","RIOK1","Atypical","RIO","RIO1",NA,NA,NA,NA
"RIOK2","RIOK2","ENSG00000058729","RIO kinase 2",NA,"N","N","N","HGNC:18999","RIOK2","Atypical","RIO","RIO2",NA,NA,NA,NA
"RIOK3","RIOK3","ENSG00000101782","RIO kinase 3",NA,"N","N","N","HGNC:11451","RIOK3","Atypical","RIO","RIO3",NA,NA,NA,NA
"RIPK1","RIPK1","ENSG00000137275","receptor interacting serine/threonine kinase 1",NA,"N","N","N","HGNC:10019","RIPK1","TKL","RIPK",NA,NA,NA,NA,NA
"RIPK2","RIPK2","ENSG00000104312","receptor interacting serine/threonine kinase 2",NA,"N","N","N","HGNC:10020","RIPK2","TKL","RIPK",NA,NA,NA,NA,NA
"RIPK3","RIPK3","ENSG00000129465","receptor interacting serine/threonine kinase 3",NA,"N","N","N","HGNC:10021","RIPK3","TKL","RIPK",NA,NA,NA,NA,NA
"RIPK4","RIPK4","ENSG00000183421","receptor interacting serine/threonine kinase 4",NA,"N","N","N","HGNC:496","RIPK4",NA,NA,NA,NA,NA,NA,NA
"RNASEL","RNASEL","ENSG00000135828","ribonuclease L",NA,"N","N","N","HGNC:10050","RNASEL","Other","Other-Unique",NA,NA,NA,NA,NA
"ROCK1","ROCK1","ENSG00000067900","Rho associated coiled-coil containing protein kinase 1","Rho associated coiled-coil containing protein kinase family","Y","N","Y","HGNC:10251","ROCK1","AGC","DMPK","ROCK",NA,NA,NA,NA
"ROCK2","ROCK2","ENSG00000134318","Rho associated coiled-coil containing protein kinase 2","Rho associated coiled-coil containing protein kinase family","Y","N","Y","HGNC:10252","ROCK2","AGC","DMPK","ROCK",NA,NA,NA,NA
"ROR1","ROR1","ENSG00000185483","receptor tyrosine kinase like orphan receptor 1","Receptor tyrosine kinases","Y","N","N","HGNC:10256","ROR1","TK","Ror",NA,NA,NA,NA,NA
"ROR2","ROR2","ENSG00000169071","receptor tyrosine kinase like orphan receptor 2","Receptor tyrosine kinases","Y","N","N","HGNC:10257","ROR2","TK","Ror",NA,NA,NA,NA,NA
"ROS1","ROS1","ENSG00000047936","ROS proto-oncogene 1, receptor tyrosine kinase","Receptor tyrosine kinases","Y","N","N","HGNC:10261","ROS1","TK","Sev",NA,NA,NA,NA,NA
"RPS6KA1","RPS6KA1","ENSG00000117676","ribosomal protein S6 kinase A1","MAPK activated protein kinases","Y","N","N","HGNC:10430","RPS6KA1",NA,NA,NA,NA,NA,NA,NA
"RPS6KA2","RPS6KA2","ENSG00000071242","ribosomal protein S6 kinase A2","MAPK activated protein kinases","Y","N","N","HGNC:10431","RPS6KA2",NA,NA,NA,NA,NA,NA,NA
"RPS6KA3","RPS6KA3","ENSG00000177189","ribosomal protein S6 kinase A3","MAPK activated protein kinases","Y","N","N","HGNC:10432","RPS6KA3",NA,NA,NA,NA,NA,NA,NA
"RPS6KA4","RPS6KA4","ENSG00000162302","ribosomal protein S6 kinase A4","MAPK activated protein kinases","Y","N","N","HGNC:10433","RPS6KA4",NA,NA,NA,NA,NA,NA,NA
"RPS6KA5","RPS6KA5","ENSG00000100784","ribosomal protein S6 kinase A5","MAPK activated protein kinases","Y","N","N","HGNC:10434","RPS6KA5",NA,NA,NA,NA,NA,NA,NA
"RPS6KA6","RPS6KA6","ENSG00000072133","ribosomal protein S6 kinase A6","MAPK activated protein kinases","Y","N","N","HGNC:10435","RPS6KA6",NA,NA,NA,NA,NA,NA,NA
"RPS6KB1","RPS6KB1","ENSG00000108443","ribosomal protein S6 kinase B1","Ribosomal protein S6 kinase family","Y","Y","N","HGNC:10436","RPS6KB1",NA,NA,NA,NA,NA,NA,NA
"RPS6KB2","RPS6KB2","ENSG00000175634","ribosomal protein S6 kinase B2","Ribosomal protein S6 kinase family","Y","Y","N","HGNC:10437","RPS6KB2",NA,NA,NA,NA,NA,NA,NA
"RPS6KC1","RPS6KC1","ENSG00000136643","ribosomal protein S6 kinase C1","Ribosomal protein S6 kinase family","Y","N","N","HGNC:10439","RPS6KC1",NA,NA,NA,NA,NA,NA,NA
"RPS6KL1","RPS6KL1","ENSG00000198208","ribosomal protein S6 kinase like 1","Ribosomal protein S6 kinase family","Y","N","N","HGNC:20222","RPS6KL1",NA,NA,NA,NA,NA,NA,NA
"RSKR","RSKR","ENSG00000167524","ribosomal protein S6 kinase related","Ribosomal protein S6 kinase family","Y","N","N","HGNC:26314","RSKR",NA,NA,NA,NA,NA,NA,NA
"RYK","RYK","ENSG00000163785","receptor like tyrosine kinase","Receptor tyrosine kinases","Y","N","N","HGNC:10481","RYK","TK","Ryk",NA,NA,NA,NA,NA
"SBK1","SBK1","ENSG00000188322","SH3 domain binding kinase 1",NA,"N","N","N","HGNC:17699","SBK1","Other","NKF1",NA,NA,NA,NA,NA
"SBK2","SBK2","ENSG00000187550","SH3 domain binding kinase family member 2",NA,"N","N","N","HGNC:34416","SBK2","Other","NKF1",NA,NA,NA,NA,NA
"SBK3","SBK3","ENSG00000231274","SH3 domain binding kinase family member 3",NA,"N","N","N","HGNC:44121","SBK3","Other","NKF1",NA,NA,NA,NA,NA
"SCYL1","SCYL1","ENSG00000142186","SCY1 like pseudokinase 1","SCY1 like pseudokinases","Y","N","N","HGNC:14372","SCYL1","Other","SCY1",NA,NA,NA,NA,NA
